id,trial,type,background,valence,result,probability,sp
1,1,1,1,1,1,1,0.86
1,2,1,1,1,1,2,1
1,3,1,1,1,2,1,1
1,4,1,1,1,2,2,1
1,5,1,1,2,1,1,1
1,6,1,1,2,1,2,1
1,7,1,1,2,2,1,0.93
1,8,1,1,2,2,2,1
2,1,1,1,1,1,1,0.01
2,2,1,1,1,1,2,1
2,3,1,1,1,2,1,1
2,4,1,1,1,2,2,0.67
2,5,1,1,2,1,1,1
2,6,1,1,2,1,2,0
2,7,1,1,2,2,1,0.98
2,8,1,1,2,2,2,0
3,1,1,1,1,1,1,0.6
3,2,1,1,1,1,2,0.8
3,3,1,1,1,2,1,0.91
3,4,1,1,1,2,2,0.26
3,5,1,1,2,1,1,0.98
3,6,1,1,2,1,2,0.96
3,7,1,1,2,2,1,0.87
3,8,1,1,2,2,2,0.87
4,1,1,1,1,1,1,0.14
4,2,1,1,1,1,2,0
4,3,1,1,1,2,1,1
4,4,1,1,1,2,2,1
4,5,1,1,2,1,1,0.95
4,6,1,1,2,1,2,0.82
4,7,1,1,2,2,1,0.03
4,8,1,1,2,2,2,0.15
5,1,1,1,1,1,1,0.14
5,2,1,1,1,1,2,1
5,3,1,1,1,2,1,1
5,4,1,1,1,2,2,0
5,5,1,1,2,1,1,1
5,6,1,1,2,1,2,0.5
5,7,1,1,2,2,1,0.36
5,8,1,1,2,2,2,0.92
6,1,1,1,1,1,1,0
6,2,1,1,1,1,2,0.91
6,3,1,1,1,2,1,0.98
6,4,1,1,1,2,2,0.17
6,5,1,1,2,1,1,0.97
6,6,1,1,2,1,2,0.06
6,7,1,1,2,2,1,0.03
6,8,1,1,2,2,2,1
7,1,1,1,1,1,1,0
7,2,1,1,1,1,2,1
7,3,1,1,1,2,1,1
7,4,1,1,1,2,2,0.11
7,5,1,1,2,1,1,1
7,6,1,1,2,1,2,0
7,7,1,1,2,2,1,0
7,8,1,1,2,2,2,1
8,1,1,1,1,1,1,0.45
8,2,1,1,1,1,2,0.77
8,3,1,1,1,2,1,0.86
8,4,1,1,1,2,2,0.67
8,5,1,1,2,1,1,0.56
8,6,1,1,2,1,2,0.42
8,7,1,1,2,2,1,0.36
8,8,1,1,2,2,2,0.83
9,1,1,1,1,1,1,0.68
9,2,1,1,1,1,2,0.8
9,3,1,1,1,2,1,1
9,4,1,1,1,2,2,0.75
9,5,1,1,2,1,1,0.83
9,6,1,1,2,1,2,0.75
9,7,1,1,2,2,1,0.3
9,8,1,1,2,2,2,0.42
10,1,1,1,1,1,1,0
10,2,1,1,1,1,2,0.9
10,3,1,1,1,2,1,1
10,4,1,1,1,2,2,0.14
10,5,1,1,2,1,1,1
10,6,1,1,2,1,2,0.17
10,7,1,1,2,2,1,0
10,8,1,1,2,2,2,0.93
11,1,1,1,1,1,1,0
11,2,1,1,1,1,2,0.92
11,3,1,1,1,2,1,0.98
11,4,1,1,1,2,2,0
11,5,1,1,2,1,1,0.98
11,6,1,1,2,1,2,0
11,7,1,1,2,2,1,0
